Film;Anno;Budget;IncassoDomestico;Durata;Rating;Votanti;LunghezzaTrama;NumeroAttori;SRR;IncassoMondiale
Ice Age;2002;65000000;176387400;115;54;49;618;3;5.663;386116300
Ice Age: Collision Course;2016;105000000;64063000;94;57;50770;652;1;1.687;403841600
Ice Age: Continental Drift;2012;95000000;161321800;88;66;179471;448;25;3.125;879765100
Ice Age: Dawn of the Dinosaurs;2009;90000000;196573700;94;69;208931;696;6;3.879;859701900
Ice Age: The Meltdown;2006;75000000;195330600;91;68;240241;839;4;2.98;651899300
Ice Princess;2005;25000000;24381300;98;60;23338;358;4;3.911;25732300
Ida;2014;2600000;3827100;82;74;47999;669;4;2.242;15298400
Identity;2003;28000000;52131300;90;73;213141;1142;5;1.576;82183700
Identity Thief;2013;35000000;134506900;111;57;117895;900;13;1.444;175361600
Idiocracy;2006;2400000;444100;84;66;135047;537;2;1.49;500300
Idle Hands;1999;15000000;4023700;60;68;13;507;5;1.578;4023700
Idlewild;2006;15000000;12669900;121;62;5022;813;2;2.091;12669900
If I Stay;2014;11000000;50474800;107;67;109780;795;3;2.138;78356200
Igby Goes Down;2002;9000000;4777500;98;69;31151;402;4;3.98;4777500
Igor;2008;22000000;19528600;87;60;21672;590;4;2.034;31013300
Illuminata;1999;10000000;836600;119;62;1487;19;4;5.263;836600
Imaginary Heroes;2004;10000000;228500;111;72;9208;222;3;3.153;290900
Imagine That;2009;55000000;16222400;107;56;12733;630;1;3.016;16222400
Immortals;2011;75000000;83504000;110;60;154689;892;7;1.457;211562400
Impostor;2002;40000000;6114200;95;62;21889;425;4;2.118;7974600
In & Out;1997;35000000;63826600;90;64;36761;520;7;3.462;83226600
In Bruges;2008;15000000;7800800;107;79;369395;683;3;1.611;34533800
In Cold Blood;1967;3500000;13000000;134;79;22431;322;4;0.621;13007600
In Dreams;1999;30000000;12017400;100;55;11888;90;5;1.111;12017400
In Good Company;2004;26000000;45489800;96;63;301;550;3;5.091;63489800
In the Bedroom;2001;1700000;35930600;130;74;36152;343;4;3.499;42137900
In the Company of Men;1997;25000;2883700;97;72;12637;485;2;3.505;2883700
In the Cut;2003;12000000;4717500;119;53;20753;644;3;3.571;23693600
In the Heart of the Sea;2015;100000000;25020800;122;69;111278;621;2;1.61;90420800
In the Heat of the Night;1967;2000000;24380000;110;80;61872;493;4;1.217;24391100
In the Land of Women;2007;10500000;11053000;97;64;30239;1177;5;2.974;14140400
In the Valley of Elah;2007;23000000;6777700;121;71;66545;165;3;1.212;24489200
In Time;2011;35000000;37553900;109;67;351177;781;9;6.53;165104000
In Too Deep;1999;7000000;14026500;95;63;5431;1189;4;2.691;15471200
Incendies;2010;6800000;6857100;131;83;128894;352;5;2.841;16038300
Inception;2010;160000000;292576200;148;88;1888869;879;9;1.251;832402100
Inchon;1982;46000000;4408600;140;25;604;346;5;3.468;4408600
Independence Day;1996;75000000;306169300;87;65;99;108;3;2.778;817400900
Independence Day: Resurgence;2016;165000000;103144300;120;52;158113;638;2;2.351;387644300
Indiana Jones and the Kingdom of the Crystal Skull;2008;185000000;317101100;122;61;400340;760;6;1.053;786635400
Indiana Jones and the Last Crusade;1989;48000000;197171800;127;82;647692;892;7;1.009;474171800
Indiana Jones and the Temple of Doom;1984;28000000;179880300;118;76;415383;709;3;1.128;333080300
Infamous;2006;13000000;1151300;110;70;15753;552;7;2.536;2613700
Inferno;2016;75000000;34343600;83;71;1113;584;2;2.569;219561200
Inglourious Basterds;2009;70000000;120774600;153;83;1159485;742;8;2.291;316915300
Inherent Vice;2014;20000000;8111000;148;67;86275;654;3;2.447;14772300
Inkheart;2009;60000000;17303400;106;61;70182;714;6;1.681;66655900
Inside Job;2010;2000000;4311800;65;59;116;14;2;0;7799300
Inside Llewyn Davis;2013;11000000;13248200;104;75;126569;740;5;2.838;32943200
Inside Out;2015;175000000;356461700;97;59;343;205;7;5.854;853707600
Insidious;2011;1500000;54009200;96;61;124;757;3;2.246;99870900
Insidious Chapter 2;2013;5000000;83586400;106;66;144964;709;5;2.68;161921500
Insidious Chapter 3;2015;10000000;52218600;97;61;85763;552;2;2.536;120678400
Insomnia;2002;46000000;67263200;85;55;22;784;3;0.893;113622500
Inspector Gadget;1999;75000000;97388000;78;41;42802;507;5;1.183;97388000
Instinct;1999;55000000;34105200;92;64;11;169;4;2.367;34105200
Interstellar;2014;165000000;188017900;169;86;1344317;660;2;4.546;667752400
Into the Blue;2005;50000000;18782200;110;58;70946;608;2;3.125;41982200
Into the Wild;2007;20000000;18354400;148;81;534216;748;9;2.139;56823000
Into the Woods;2014;56200000;128002400;125;59;125580;667;2;0.6;203502400
Intolerable Cruelty;2003;60000000;35327600;100;62;86477;700;2;2.571;121327600
Invaders from Mars;1986;12000000;4884700;78;64;6630;638;2;1.724;4984700
Invasion U.S.A.;1985;10000000;17536300;107;54;8037;430;2;3.721;17536300
Invictus;2009;60000000;37491400;134;73;142645;714;2;6.303;124514000
Invincible;2006;40000000;57807000;94;67;32;818;2;2.69;58501100
Iris;2001;5500000;5580500;90;65;180;80;3;1.25;15155000
Iron Man;2008;186000000;318604100;73;61;181;90;3;6.667;585171500
Iron Man 2;2010;170000000;312433300;124;70;675767;552;8;2.717;621156400
Iron Man 3;2013;200000000;408992300;130;72;710332;671;10;4.322;1215392300
Ironclad;2011;25000000;0;121;61;38839;941;3;1.488;5297400
Ishtar;1987;40000000;14375200;107;44;9789;333;6;3.303;14375200
It;2017;35000000;327481700;72;73;2768;405;2;2.963;697459200
It Comes at Night;2017;5000000;13985100;91;62;72187;719;7;1.113;17387100
It Follows;2015;2000000;14674100;100;68;189883;668;2;3.443;23250800
It Happened One Night;1934;325000;2500000;105;81;86582;594;3;1.852;2500000
It's a Mad Mad Mad Mad World;1963;9400000;46300000;205;75;35409;994;12;2.616;60000000
It's a Wonderful Afterlife;2010;10000000;0;100;53;1385;154;3;0.649;1642900
It's All Gone Pete Tong;2005;2000000;120600;90;73;18607;815;4;1.718;2226600
It's Kind of a Funny Story;2010;8000000;6363600;101;71;127954;792;8;2.399;6633000
J. Edgar;2011;35000000;37306000;137;65;117343;684;14;2.339;84606000
Jab Tak Hai Jaan;2012;9200000;3047500;176;67;48928;965;3;3.731;5806700
Jack;1996;45000000;58617300;119;56;351;588;6;3.742;58617300
Jack and Jill;2011;79000000;74158200;100;69;8;779;3;2.182;150519200
Jack Reacher;2012;60000000;80070700;130;70;289753;716;6;1.397;217370700
Jack Reacher: Never Go Back;2016;60000000;58697100;118;61;125946;774;0;4.134;160038400
Jack Ryan: Shadow Recruit;2014;60000000;50577400;105;62;116770;480;2;0.417;131377400
Jack the Giant Slayer;2013;195000000;65187600;114;62;125413;628;6;0.955;197687600
Jackass: The Movie;2002;5000000;64282300;87;66;77580;19;3;0;79282300
Jackie;2016;9000000;13960400;50;52;29;359;3;2.786;25969700
Jackie Brown;1997;12000000;39673200;154;75;293509;610;8;2.295;74727500
Jackpot;2001;400000;44500;71;61;84;71;3;2.817;44500
Jade;1995;50000000;9812900;95;53;10784;635;6;4.882;9812900
Jakob the Liar;1999;15000000;4956400;120;66;14403;291;3;3.093;4956400
Jane Got a Gun;2016;25000000;1513800;98;59;19492;957;1;2.299;3771300
Jarhead;2005;72000000;62647500;125;70;163929;602;4;2.326;96947500
Jason Bourne;2016;120000000;162192900;123;66;194561;679;1;1.473;416197100
Jason X;2002;14000000;13121600;91;44;47587;890;3;1.461;16951800
Jawbreaker;1999;3000000;3076800;87;56;22667;714;3;2.381;3076800
Jaws;1975;12000000;260000000;124;80;518980;559;3;1.073;470700000
Jaws 2;1978;20000000;102922400;116;58;66181;745;3;0.94;208900400
Jay and Silent Bob Strike Back;2001;22000000;30059400;104;68;143183;935;2;1.39;33762400
Jeepers Creepers;2001;10000000;37904200;69;63;58;593;3;3.879;58939000
Jeff, Who Lives at Home;2012;10000000;4269400;83;65;60400;749;5;1.602;4708100
Jefferson in Paris;1995;14000000;2461600;139;57;2693;295;2;2.034;2461600
Jekyll and Hyde... Together Again;1982;5000000;3707600;87;63;1049;951;2;2.103;3707600
Jennifer's Body;2009;16000000;16204800;102;52;108407;662;6;1.813;31943400
Jersey Boys;2014;40000000;47047000;134;68;30931;672;3;3.125;65282700
Jersey Girl;2004;35000000;25266100;95;62;1360;587;8;3.237;37066100
JFK;1991;40000000;70405500;189;80;132915;704;13;2.273;205400000
Jigsaw;2017;10000000;38052800;72;58;660;195;2;0.513;102630300
Jimmy Neutron: Boy Genius;2001;25000000;80936200;82;60;28710;663;3;1.207;102992500
Jindabyne;2007;10800000;399900;123;63;6200;907;3;1.103;2862500
Jingle All the Way;1996;60000000;60592400;89;56;84959;1079;6;2.966;129832400
Jobs;2013;18000000;16131400;128;59;90125;689;12;2.467;43402500
Joe;2014;4000000;373400;107;68;2570;317;2;4.101;373400
Joe Dirt;2001;16000000;27087700;91;59;48459;693;3;2.309;30987700
Joe Somebody;2001;38000000;22770900;98;55;9629;405;3;2.469;24516000
John Carter;2012;275000000;73058700;132;66;245045;1279;11;1.407;282778100
John Q;2002;36000000;71026600;116;71;117066;780;5;2.308;102226600
Johnny English;2003;45000000;28013500;88;62;139711;729;2;1.372;163126700
Johnny English Reborn;2011;45000000;8406700;101;63;113189;693;5;1.299;164640400
Johnson Family Vacation;2004;12000000;31204000;97;45;6917;145;7;1.379;31286800
Jonah Hex;2010;47000000;10547100;81;47;52732;900;6;1.889;11022700
Jonah: A VeggieTales Movie;2002;14000000;25571400;82;65;3671;714;4;0.84;25608800
Josie and the Pussycats;2001;22000000;14252800;98;53;20745;671;3;1.937;14252800
Journey 2: The Mysterious Island;2012;79000000;103860300;94;58;85645;1046;6;2.103;318146200
Journey to the Center of the Earth;2008;45000000;101704400;129;70;14303;674;3;0.89;243180900
Joy;2015;60000000;56451200;75;68;65;830;2;3.494;101134100
Joy Ride;2001;23000000;21973200;65;58;28;679;3;2.651;21973200
Joyful Noise;2012;27500000;30932100;118;57;7650;597;6;2.68;31157900
Judge Dredd;1995;85000000;34687900;96;56;105021;650;7;3.077;113487900
Judgment at Nuremberg;1961;3000000;10000000;179;82;63369;588;8;4.252;10000000
Julia;2009;6000000;65100;88;48;217;487;7;3.696;1365100
Julie & Julia;2009;40000000;94125400;118;70;98478;258;5;3.101;126646100
Jumanji;1995;65000000;100458300;104;70;277681;685;7;2.774;262758300
Jumanji: Welcome to the Jungle;2017;90000000;395168000;119;69;256828;690;8;3.478;931369500
Jumper;2008;82500000;80172100;88;61;275562;676;6;1.627;222640800
Jumping the Broom;2011;7000000;37295400;112;57;9293;867;11;2.768;38158600
Junebug;2005;1000000;2678000;106;69;21463;381;5;1.837;3553300
Juno;2007;7000000;143495300;96;74;471588;548;7;3.832;231450100
Jupiter Ascending;2015;179000000;47482500;127;53;169766;659;2;1.062;181982500
Jurassic Park;1993;63000000;395708300;127;81;801234;702;4;0.57;1038812600
Jurassic Park III;2001;93000000;181166100;92;59;280220;731;6;2.189;365900000
Jurassic World;2015;215000000;652270600;124;70;549368;653;2;1.072;1671713200
Just Getting Started;2017;22000000;6069600;91;44;5160;124;5;4.032;6709800
Just Go With It;2011;80000000;103028100;117;64;206180;780;7;4.103;214975000
Just Like Heaven;2005;58000000;48318100;70;56;46;613;3;2.121;100687100
Just Married;2003;19000000;56127200;80;68;36;641;2;2.34;101564900
Just My Luck;2006;28000000;17326700;70;53;10;844;2;3.91;38159900
Just Visiting;2001;40000000;4777000;88;58;17550;489;3;3.068;16172200
Just Wright;2010;12000000;21540400;100;59;12702;375;2;2.933;21867700
Justice League;2017;300000000;228977300;120;64;344441;657;19;3.349;655906400
Justin Bieber: Never Say Never;2011;13000000;73013900;105;16;75020;224;10;4.018;99034100
Juwanna Mann;2002;15600000;13571800;91;46;5902;623;4;3.692;13771800
K-19: The Widowmaker;2002;90000000;35169000;138;67;56461;1197;2;1.838;65716100
Kabhi Alvida Naa Kehna;2006;10750000;3275400;193;61;16991;827;6;4.474;32575400
Kangaroo Jack;2003;60000000;66723200;89;44;27566;741;4;2.969;90723200
Kansas City;1996;19000000;1353800;116;64;4086;146;3;2.74;1353800
Keanu;2016;15000000;20591900;100;63;42724;985;1;1.421;20688100
Keeping the Faith;2000;29000000;37036400;128;63;48291;959;3;3.545;45336400
Keeping Up with the Steins;2006;5000000;4339200;90;53;2938;283;3;3.18;4414800
Kevin Hart: Let Me Explain;2013;2500000;32244100;75;68;8017;62;3;3.226;32327300
Kevin Hart: What Now?;2016;10000000;23591000;96;59;8372;72;1;6.944;23591000
Khiladi 786;2012;5600000;385400;141;42;5773;602;6;4.817;14683800
Kick-Ass;2010;28000000;48071300;117;76;504780;677;5;1.034;97531100
Kick-Ass 2;2013;28000000;28796000;103;65;243338;778;4;2.571;63129900
Kickboxer;1989;1500000;14533700;97;64;45833;570;1;1.579;14533700
Kids;1995;1500000;7412200;91;71;68979;592;2;4.73;20412200
Kill List;2012;800000;29100;95;64;33686;619;4;1.616;462200
Kill the Irishman;2011;12000000;1188200;106;71;42579;880;10;2.955;1188200
Killer Elite;2011;70000000;25125000;116;65;119049;720;11;3.472;65409000
Killer Joe;2012;10000000;1291600;102;67;68812;650;6;2;4659100
Killers;2010;75000000;47060000;83;20;460;1031;2;2.134;95572700
Killing Zoe;1994;1500000;419000;96;65;19030;521;2;2.111;419000
Kindergarten Cop;1990;26000000;91457700;111;61;127873;520;6;1.539;202000000
King Arthur;2004;90000000;51878000;126;63;153588;793;8;3.531;203878000
King Arthur: Legend of the Sword;2017;175000000;39175100;126;67;174598;615;15;1.626;140012600
King Kong;2005;207000000;218080000;100;79;74912;566;3;2.12;550517400
Kingdom Come;2001;7000000;23247500;85;82;13;710;5;2.676;23393900
Kingdom of Heaven;2005;110000000;47398400;144;72;253873;652;3;2.761;218853400
Kingdom of the Spiders;1977;500000;17000000;97;58;4193;842;3;1.069;17000000
Kingpin;1996;25000000;25023400;114;69;72811;684;4;1.901;32223400
King's Ransom;2005;25000000;4008500;95;43;3466;113;1;5.31;4049500
Kingsman: The Golden Circle;2017;104000000;100234800;141;68;241812;704;11;3.693;408834800
Kingsman: The Secret Service;2015;94000000;128261700;129;77;556097;565;3;2.832;404561700
Kinsey;2004;11000000;10214600;118;71;46156;730;6;7.534;17443500
Kiss Kiss, Bang Bang;2005;15000000;4235800;112;60;112;722;2;1.939;16829500
Kiss of Death;1995;40000000;14942400;99;75;6550;807;3;2.231;14942400
Kiss of the Dragon;2001;25000000;36833500;98;66;58635;504;3;1.984;36833500
Kiss the Bride;2008;500000;32000;89;54;1086;117;3;5.983;32000
Kiss the Girls;1997;27000000;60527900;115;66;60102;482;2;1.867;60527900
Kissing Jessica Stein;2002;1500000;7025700;97;64;15465;633;4;6.635;9345100
Kit Kittredge: An American Girl;2008;10000000;17658000;101;65;5347;309;4;0.324;17658000
Kites;2010;9200000;1685300;123;60;11595;378;5;1.323;17155200
Knight and Day;2010;117000000;76423000;109;63;171967;992;6;1.512;258751400
Knock Off;1998;35000000;10319900;91;49;13211;281;3;0.712;10319900
Knockaround Guys;2002;15000000;11660200;92;61;21645;680;5;2.941;12419700
Knocked Up;2007;27500000;148761800;129;69;336057;808;4;2.599;219266000
Kong: Skull Island;2017;185000000;168052800;118;66;247461;867;19;2.884;561137700
K-PAX;2001;48000000;50315100;120;74;168927;543;4;3.315;50315100
Krrish;2006;10000000;1430700;185;63;16569;748;5;3.075;32430700
Krush Groove;1985;3000000;11052700;97;65;2687;124;3;1.613;11052700
Kubo and the Two Strings;2016;55000000;48023100;101;78;108700;691;0;2.026;77548600
Kundun;1997;28000000;5686700;134;70;24602;626;0;2.396;5686700
Kung Fu Hustle;2005;20000000;17104700;99;77;119027;702;6;0.997;102034100
Kung Fu Panda;2008;130000000;215434600;92;75;390620;686;6;1.312;631910500
Kung Fu Panda 2;2011;150000000;165249100;90;72;234713;687;16;0.728;664837500
Kung Fu Panda 3;2016;140000000;143528600;95;71;120601;704;2;1.136;518614400
Kung Pow: Enter the Fist;2002;10000000;16033600;81;62;42084;720;3;1.667;17033600
L.A. Confidential;1997;35000000;64605000;138;82;502255;720;8;1.667;126205000
L.I.E.;2001;700000;1141000;97;71;9267;541;3;4.436;1141000
La Bamba;1987;6500000;54215400;108;69;25866;598;6;2.341;54215400
Labor Day;2014;18000000;13371500;111;69;39944;592;2;3.885;14189800
Ladder 49;2004;60000000;74541700;115;65;53197;682;5;2.933;102332800
Lady Bird;2017;10000000;48527800;94;74;188357;617;10;2.431;59556000
Lady in the Water;2006;75000000;42285200;110;55;91832;490;2;0.816;72785200
Lady in White;1988;4700000;1705100;109;59;139;923;2;1.842;1705100
Ladyhawke;1985;20000000;18400000;121;70;40722;683;3;2.489;18400000
Lake Placid;1999;27000000;31770400;82;57;51622;440;5;2.273;31770400
Lakeview Terrace;2008;20000000;39263500;110;61;46857;638;3;1.724;44821300
Land of the Lost;2009;100000000;49438400;102;53;61395;655;4;1.985;69548600
Lara Croft: Tomb Raider;2001;94000000;131144200;100;58;188671;951;3;2.103;273330200
Lara Croft: Tomb Raider: The Cradle of Life;2003;90000000;65653800;117;55;124026;455;2;1.978;157092900
Larry Crowne;2011;30000000;35608200;98;61;59948;586;12;2.048;61449100
Larry the Cable Guy: Health Inspector;2006;17000000;15680100;89;33;9576;429;4;2.797;15680100
Lars and the Real Girl;2007;12500000;5956500;106;73;132868;720;3;3.056;11277100
Last Action Hero;1993;85000000;50016400;130;64;128078;616;9;1.136;137298500
Last Holiday;2006;45000000;38400000;88;75;1292;662;4;3.323;43343200
Last Man Standing;1996;67000000;18115900;90;55;73;1217;3;1.15;18115900
Last Orders;2002;12000000;2326400;109;69;5413;304;2;3.947;2326400
Last Vegas;2013;28000000;63914200;105;66;122892;1205;5;2.49;112914200
Law Abiding Citizen;2009;53000000;73357700;109;74;257302;753;6;2.258;131159800
Lawless;2012;26000000;37397300;116;73;216958;654;8;1.529;54393600
Lawrence of Arabia;1962;15000000;37495400;228;83;248494;761;8;1.314;69995400
Layer Cake;2005;6500000;2340000;105;73;156604;875;3;3.086;11745900
Leap Year;2010;19000000;25918900;56;61;258;986;4;2.84;32618900
Leatherheads;2008;58000000;31373900;114;60;30157;689;3;2.032;41348600
Leaving Las Vegas;1995;4000000;31983800;111;75;108413;335;2;3.881;49800000
Left Behind;2014;16000000;14019900;86;63;34;674;2;3.413;20769200
Legal Eagles;1986;40000000;49851600;116;60;9309;874;6;2.174;49851600
Legally Blonde;2001;18000000;96493400;96;62;169983;1580;4;2.722;141809200
Legally Blonde 2: Red, White & Blonde;2003;25000000;90639100;95;48;58015;558;4;2.509;125339100
Legend;2015;25000000;1873000;94;65;56057;581;3;0.861;42642100
Legend of the Guardians: The Owls of Ga'Hoole;2010;100000000;55675300;97;69;74713;1207;20;0.497;139716700
Legends of the Fall;1994;30000000;66502600;133;75;136437;755;5;2.782;160502600
Legion;2010;26000000;40168100;100;52;94333;693;10;1.587;67647600
Lemony Snicket's A Series of Unfortunate Events;2004;100000000;118627100;108;68;187058;624;5;1.442;212956000
Let Me In;2010;20000000;12134900;116;71;108593;550;4;1.818;28270400
Lethal Weapon;1987;15000000;65192400;109;76;223059;604;3;3.808;120192400
Lethal Weapon 3;1992;35000000;144731500;118;67;148486;838;4;2.029;319700000
Lethal Weapon 4;1998;140000000;130444600;127;66;145725;685;6;0.73;285400000
Let's Go to Prison;2006;4000000;4630000;84;60;22088;677;3;4.431;4630000
Letters from Iwo Jima;2006;13000000;13756100;141;79;147871;748;4;1.337;67868000
Letters to God;2010;3000000;2848600;110;63;4496;607;5;3.13;3237500
Letters to Juliet;2010;30000000;53032500;105;65;87451;424;5;4.009;82148500
Liar Liar;1997;45000000;181410600;86;69;264935;908;6;3.304;302710600
Licence to Kill;1989;42000000;34667000;133;66;87734;636;4;2.359;156167000
License to Wed;2007;35000000;43799800;91;53;36634;501;3;2.595;70187100
Life;2017;58000000;30234000;125;77;64;847;3;3.542;101003300
Life as a House;2001;18000000;15652600;125;75;41906;404;5;1.485;23889200
Life as We Know It;2010;38000000;53374700;114;65;115082;743;2;2.692;105887800
Life During Wartime;2010;4500000;281400;98;64;6553;567;2;2.646;281400
Life of Pi;2012;120000000;124987000;127;79;546333;701;4;1.855;607987000
Life, or Something Like It;2002;40000000;14448600;103;58;22182;561;4;3.03;14448600
